,link,classification,category,title,company,salary,min_salary,average_salary,max_salary,location,description,entireDiv,date_posted,Category,Date
0,https://www.seek.com.au//job/73485424?type=promoted&ref=search-standalone,ceo general management,General/Business Unit Manager,Chief Financial Officer - Automotive Dealership Group | Brisbane,Westpoint Autos,Exceptional Salary Package & Benefits on offer!,260000.0,262500.0,265000.0,Perth WA,The Westpoint Autos and HG Groups are seeking a dynamic Chief Financial Officer to drive our financial growth & innovation strategy based in Brisbane,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Perth WA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Perth-WA?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Perth WA"">Perth WA</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: Exceptional Salary Package &amp; Benefits on offer!"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">Exceptional Salary Package &amp; Benefits on offer!</span></span></div></div>]",,Ceo-general-management - None,08/02/2024
1,https://www.seek.com.au//job/73452607?type=promoted&ref=search-standalone,ceo general management,CEO,Chief Executive Officer -  Royal Sydney Yacht Squadron,u&u. Recruitment Partners,-,260000.0,262500.0,265000.0,Sydney NSW,"Can you lead one of Australia's Premier Private Member Clubs as it embarks on a period of exciting, strategic and operational evolution?","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Kirribilli"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Kirribilli-NSW-2061?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Kirribilli"">Kirribilli</a>, <a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>]",,Ceo-general-management - None,08/02/2024
2,https://www.seek.com.au//job/73626794?type=standard&ref=search-standalone,ceo general management,CEO,"CEO, MD, GM",Page Executive,"300,000",260000.0,262500.0,265000.0,Gold Coast QLD,"Exciting CEO opportunity, driving growth, operational excellence and scaling a small B2B Sass business.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Gold Coast QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Gold-Coast-QLD?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Gold Coast QLD"">Gold Coast QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: 300,000"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">300,000</span></span></div></div>]",,Ceo-general-management - None,08/02/2024
3,https://www.seek.com.au//job/73585046?type=standout&ref=search-standalone,ceo general management,General/Business Unit Manager,Executive General Manager,Williams Hall,-,260000.0,262500.0,265000.0,Sydney NSW,An exciting EGM role with one of Australia's leading industrial manufacturing and engineering organisations to lead one of their divisions.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>]",2024-02-07,Ceo-general-management - None,08/02/2024
4,https://www.seek.com.au//job/73540997?type=standout&ref=search-standalone,ceo general management,CEO,Chief Executive Officer,C3Talent,-,260000.0,262500.0,265000.0,Brisbane QLD,Lead Research and Development agricultural organisation. Strong long term growth plans ready for implementation and execution,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>]",2024-02-06,Ceo-general-management - None,08/02/2024
5,https://www.seek.com.au//job/73590678?type=standard&ref=search-standalone,ceo general management,General/Business Unit Manager,Head of Operations,Sara Lee Holdings Pty Ltd,-,260000.0,262500.0,265000.0,Other,Join us at this exciting stage of the Sara Lee story...,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Gosford"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Gosford-NSW-2250?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Gosford"">Gosford</a>, <a aria-label=""Limit results to Gosford &amp; Central Coast NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Gosford-&amp;-Central-Coast-NSW?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Gosford &amp; Central Coast NSW"">Gosford &amp; Central Coast NSW</a></span></div>]",2024-02-07,Ceo-general-management - None,08/02/2024
6,https://www.seek.com.au//job/73523008?type=standard&ref=search-standalone,ceo general management,COO & MD,Chief Commercial Officer,Change Financial Services Pty Ltd,-,260000.0,262500.0,265000.0,Brisbane QLD,Exciting opportunity to join a growing company in a fast-paced industry. Competitive salary + STI + LTI.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>]",2024-02-05,Ceo-general-management - None,08/02/2024
7,https://www.seek.com.au//job/73554959?type=standout&ref=search-standalone,ceo general management,General/Business Unit Manager,Executive Director Infrustructure Services,Verve Partners,-,260000.0,262500.0,265000.0,Newcastle NSW,Executive Director level role with the Anglican Diocese. Manage two portfolios including Asset/Property Management and Information Technology.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Newcastle"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Newcastle-NSW-2300?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Newcastle"">Newcastle</a>, <a aria-label=""Limit results to Newcastle, Maitland &amp; Hunter NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Newcastle,-Maitland-&amp;-Hunter-NSW?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Newcastle, Maitland &amp; Hunter NSW"">Newcastle, Maitland &amp; Hunter NSW</a></span></div>]",2024-02-06,Ceo-general-management - None,08/02/2024
8,https://www.seek.com.au//job/73365238?type=standard&ref=search-standalone,ceo general management,CEO,Chief Executive Officer,Page Executive,-,260000.0,262500.0,265000.0,Canberra ACT,Northside Community Service is an established not-for-profit seeking a new CEO.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Dickson"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Dickson-ACT-2602?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Dickson"">Dickson</a>, <a aria-label=""Limit results to Canberra ACT"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Canberra-ACT?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Canberra ACT"">Canberra ACT</a></span></div>]",2024-01-29,Ceo-general-management - None,08/02/2024
9,https://www.seek.com.au//job/73550096?type=standout&ref=search-standalone,ceo general management,General/Business Unit Manager,General Manager,BildGroup,-,260000.0,262500.0,265000.0,Brisbane QLD,"As the General Manager, you will play a central role in leading and developing the service offering of the Bitu-mill Profiling and Paving business.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>]",2024-02-06,Ceo-general-management - None,08/02/2024
10,https://www.seek.com.au//job/73417928?type=standout&ref=search-standalone,ceo general management,Board Appointments,Chief Executive Officer,Orchard Talent Group,-,260000.0,262500.0,265000.0,Newcastle NSW,"Lead with vision to enhance patient experience, strengthen commercial sustainability and foster a culture that prioritises staff and client wellbeing.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Shoal Bay"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Shoal-Bay-NSW-2315?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Shoal Bay"">Shoal Bay</a>, <a aria-label=""Limit results to Newcastle, Maitland &amp; Hunter NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-Newcastle,-Maitland-&amp;-Hunter-NSW?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Newcastle, Maitland &amp; Hunter NSW"">Newcastle, Maitland &amp; Hunter NSW</a></span></div>]",2024-01-31,Ceo-general-management - None,08/02/2024
11,https://www.seek.com.au//job/73523168?type=standard&ref=search-standalone,ceo general management,COO & MD,Chief Commercial Officer,Change Financial Services Pty Ltd,-,260000.0,262500.0,265000.0,Sydney NSW,Exciting opportunity to join a growing organisation in a fast-paced industry. Competitive salary + STI + LTI.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>]",2024-02-05,Ceo-general-management - None,08/02/2024
12,https://www.seek.com.au//job/73463543?type=standout&ref=search-standalone,ceo general management,CEO,Chief Executive Officer,Brain Box,-,260000.0,262500.0,265000.0,Perth WA,This is a rare opportunity to work closely with a supportive board and implement an aspirational change agenda that will transform the business.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Perth WA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-ceo-general-management/in-All-Perth-WA?salarytype=annual&amp;salaryrange=260000-265000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Perth WA"">Perth WA</a></span></div>]",2024-02-01,Ceo-general-management - None,08/02/2024
